"","id","subject","etype","group","edate","boxnum","weight","iti","fr","msn","comments","fn","sname","active","inactive","reward","beam1","beam2","beam3","beam4","latency.active","latency.inactive"
"39",9,"9","heroinSA","heroin","01-21-22","Box9","261.000",10,1,"FR_SCRIPT_D:_0.865_E:_0.135_F:_45.000_I:_204.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2971.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box9_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_9.rDat",45,7,45,"274445.000","158645.000","61540.000","45.000","6.13","71.54"
"40",10,"10","heroinSA","saline","01-21-22","Box10","248.000",10,1,"FR_SCRIPT_D:_0.824_E:_0.176_F:_14.000_I:_64.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_41751.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_1.000","\Box10_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_10.rDat",14,3,14,"43585.000","168822.000","279797.000","14.000","62.81","1.03"
"41",11,"11","heroinSA","saline","01-21-22","Box11","285.000",10,1,"FR_SCRIPT_5choice_D:_0.333_E:_0.667_F:_5.000_I:_42.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2328.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_11.rDat",5,10,5,"0.000","0.000","0.000","5.000","341.55","305.09"
"42",12,"12","heroinSA","saline","01-21-22","Box12","271.000",10,1,"FR_SCRIPT_5choice_D:_1.000_E:_0.000_F:_2.000_I:_10.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_102795.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box12_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_12.rDat",2,0,2,"0.000","0.000","0.000","2.000","106.53","106.53"
"43",13,"13","heroinSA","saline","01-21-22","Box13","243.000",10,1,"FR_SCRIPT_5choice_D:_0.656_E:_0.344_F:_21.000_I:_108.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_5012.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box13_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_13.rDat",21,11,21,"0.000","0.000","0.000","21.000","46.28","320.94"
"44",14,"14","heroinSA","saline","01-21-22","Box14","272.000",10,1,"FR_SCRIPT_5choice_D:_0.682_E:_0.318_F:_15.000_I:_76.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1455.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box14_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_14.rDat",15,7,15,"0.000","0.000","0.000","15.000","4.53","36.07"
"45",15,"15","heroinSA","saline","01-21-22","Box15","255.000",10,1,"FR_SCRIPT_5choice_D:_0.833_E:_0.167_F:_5.000_I:_24.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_13423.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box15_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_15.rDat",5,1,5,"0.000","0.000","0.000","5.000","49.33","187.71"
"46",1,"1","heroinSA","heroin","01-24-22","Box1","250.000",10,1,"FR_SCRIPT_D:_0.266_E:_0.734_F:_17.000_I:_166.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_134.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box1_Comments:","heroinSA_FR1_roomE_20220124","heroinSA_FR1_roomE_20220124_1.rDat",17,47,17,"254730.000","218805.000","53234.000","17.000","9.35","20.9"
"47",2,"2","heroinSA","heroin","01-24-22","Box2","275.000",10,1,"FR_SCRIPT_D:_0.360_E:_0.640_F:_40.000_I:_307.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_204.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box2_Comments:","heroinSA_FR1_roomE_20220124","heroinSA_FR1_roomE_20220124_2.rDat",40,71,40,"179096.000","211991.000","115943.000","40.000","61.77","139.89"
"48",3,"3","heroinSA","heroin","01-24-22","Box3","254.000",10,1,"FR_SCRIPT_box3_D:_0.476_E:_0.524_F:_20.000_I:_126.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_740.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box3_Comments:","heroinSA_FR1_roomE_20220124","heroinSA_FR1_roomE_20220124_3.rDat",20,22,20,"245937.000","224430.000","37910.000","20.000","31.41","53.46"
"49",4,"4","heroinSA","heroin","01-24-22","Box4","231.000",10,1,"FR_SCRIPT_box4_D:_0.826_E:_0.174_F:_19.000_I:_86.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1317.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_1.000","\Box4_Comments:","heroinSA_FR1_roomE_20220124","heroinSA_FR1_roomE_20220124_4.rDat",19,4,19,"186425.000","227241.000","68090.000","19.000","49.42","2123.66"
"50",5,"5","heroinSA","heroin","01-24-22","Box5","259.000",10,1,"FR_SCRIPT_D:_0.262_E:_0.738_F:_17.000_I:_167.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_5208.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box5_Comments:","heroinSA_FR1_roomE_20220124","heroinSA_FR1_roomE_20220124_5.rDat",17,48,17,"255853.000","171786.000","52076.000","17.000","137.85","152.1"
"51",6,"6","heroinSA","heroin","01-24-22","Box6","250.000",10,1,"FR_SCRIPT_D:_0.688_E:_0.313_F:_22.000_I:_110.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1969.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_1.000_Z:_0.000","\Box6_Comments:","heroinSA_FR1_roomE_20220124","heroinSA_FR1_roomE_20220124_6.rDat",22,10,22,"294782.000","73471.000","13236.000","22.000","21.39","437.3"
"52",7,"7","heroinSA","heroin","01-24-22","Box7","273.000",10,1,"FR_SCRIPT_D:_0.837_E:_0.163_F:_41.000_I:_183.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2291.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box7_Comments:","heroinSA_FR1_roomE_20220124","heroinSA_FR1_roomE_20220124_7.rDat",41,8,41,"143367.000","37127.000","9559.000","41.000","32.07","9.88"
"53",8,"8","heroinSA","heroin","01-24-22","Box8","247.000",10,1,"FR_SCRIPT_D:_0.326_E:_0.674_F:_31.000_I:_254.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_417.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box8_Comments:","heroinSA_FR1_roomE_20220124","heroinSA_FR1_roomE_20220124_8.rDat",31,64,31,"122729.000","110025.000","72681.000","31.000","34.45","75.85"
