"","id","subject","etype","group","edate","boxnum","weight","iti","fr","msn","comments","fn","sname","active","inactive","reward","beam1","beam2","beam3","beam4","latency.active","latency.inactive"
"33",3,"5","heroinSA","heroin","02-16-23","Box5","258.000",10,1,"FR_SCRIPT_D:_0.600_E:_0.400_F:_9.000_I:_50.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_3546.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_3.rDat",9,6,9,"192825.000","147350.000","54065.000","9.000","0.64","10.85"
"34",4,"6","heroinSA","heroin","02-16-23","Box6","238.000",10,1,"FR_SCRIPT_D:_0.500_E:_0.500_F:_6.000_I:_38.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_10984.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_4.rDat",6,6,6,"211525.000","210406.000","85694.000","6.000","61.17","6.63"
"35",5,"7","heroinSA","saline","02-16-23","Box7","256.000",10,1,"FR_SCRIPT_D:_0.235_E:_0.765_F:_8.000_I:_86.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_7994.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_5.rDat",8,26,8,"42873.000","17933.000","8162.000","8.000","34.77","61.7"
"36",6,"8","heroinSA","heroin","02-16-23","Box8","275.000",10,1,"FR_SCRIPT_D:_0.194_E:_0.806_F:_7.000_I:_89.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_53748.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_6.rDat",7,29,7,"111862.000","186555.000","147742.000","7.000","23.74","1175.52"
"37",7,"9","heroinSA","saline","02-16-23","Box9","233.000",10,1,"FR_SCRIPT_D:_0.121_E:_0.879_F:_7.000_I:_132.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_25892.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_7.rDat",7,51,7,"153054.000","214563.000","136142.000","7.000","58.35","32.23"
"38",8,"10","heroinSA","heroin","02-16-23","Box10","254.000",10,1,"FR_SCRIPT_D:_0.400_E:_0.600_F:_6.000_I:_45.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_49098.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_8.rDat",6,9,6,"84091.000","25093.000","16876.000","6.000","28.77","90.82"
"39",9,"3","heroinSA","heroin","02-16-23","Box3","258.000",10,1,"FR_SCRIPT_box3_D:_0.364_E:_0.636_F:_12.000_I:_95.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1693.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box3_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_9.rDat",12,21,12,"202178.000","175208.000","81282.000","12.000","201.68","63.81"
"40",10,"4","heroinSA","heroin","02-16-23","Box4","263.000",10,1,"FR_SCRIPT_box4_D:_0.400_E:_0.600_F:_12.000_I:_88.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_6988.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box4_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_10.rDat",12,18,12,"190475.000","218689.000","77063.000","12.000","127.3","14.35"
"41",11,"11","heroinSA","saline","02-16-23","Box11","248.000",10,1,"FR_SCRIPT_5choice_D:_0.250_E:_0.750_F:_5.000_I:_52.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_19026.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_11.rDat",5,15,5,"0.000","0.000","0.000","5.000","53.11","295.29"
"42",12,"12","heroinSA","saline","02-16-23","Box12","255.000",10,1,"FR_SCRIPT_5choice_D:_0.389_E:_0.611_F:_7.000_I:_52.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2201.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box12_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_12.rDat",7,11,7,"0.000","0.000","0.000","7.000","63.91","82.7"
