"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"7","heroinSA","saline","Box7","02-16-23","256","heroinSA_FR1_roomE_20230216","1","8","26","8","42873","17933","8162","8","34.77","34.77","5","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","13","8","35","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","5","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","\Box11_Comments:"
"8","heroinSA","heroin","Box8","02-16-23","275","heroinSA_FR1_roomE_20230216","1","7","29","7","111862","186555","147742","7","23.74","23.74","1","4","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","13","2","0","0","0","0","7","41","2","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","\Box11_Comments:"
"9","heroinSA","saline","Box9","02-16-23","233","heroinSA_FR1_roomE_20230216","1","7","51","7","153054","214563","136142","7","58.35","32.23","3","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","21","4","4","15","50","0","0","6","0","0","3","4","0","2","0","0","0","0","3","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","\Box11_Comments:"
"10","heroinSA","heroin","Box10","02-16-23","254","heroinSA_FR1_roomE_20230216","1","6","9","6","84091","25093","16876","6","28.77","28.57","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","7","0","0","12","0","0","0","0","2","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","\Box11_Comments:"
"3","heroinSA","heroin","Box3","02-16-23","258","heroinSA_FR1_roomE_20230216","1","12","21","12","202178","175208","81282","12","201.68","63.81","1","1","1","1","1","0","0","0","2","0","2","0","1","1","0","1","0","0","7","7","7","5","3","0","4","0","2","0","5","0","3","1","0","7","0","6","1","1","1","1","1","0","0","0","2","0","2","0","1","1","0","1","0","0","\Box3_Comments:"
"4","heroinSA","heroin","Box4","02-16-23","263","heroinSA_FR1_roomE_20230216","1","12","18","12","190475","218689","77063","12","127.3","14.35","3","0","1","0","2","0","0","2","0","0","0","2","0","0","1","1","0","0","11","0","3","0","8","0","0","2","0","0","1","16","0","0","5","1","2","0","3","0","1","0","2","0","0","2","0","0","0","2","0","0","1","1","0","0","\Box4_Comments:"
"11","heroinSA","saline","Box11","02-16-23","248","heroinSA_FR1_roomE_20230216","1","5","15","5","0","0","0","5","53.11","53.11","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","0","8","4","0","0","0","2","0","0","4","0","4","0","0","0","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","\Box11_Comments:"
"12","heroinSA","saline","Box12","02-16-23","255","heroinSA_FR1_roomE_20230216","1","7","11","7","0","0","0","7","63.91","63.91","1","1","0","1","1","0","0","1","1","0","0","1","0","0","0","0","0","0","3","1","2","1","3","0","6","5","1","0","4","1","0","0","0","0","0","2","1","1","0","1","1","0","0","1","1","0","0","1","0","0","0","0","0","0","\Box12_Comments:"
"13","heroinSA","saline","Box13","02-16-23","223","heroinSA_FR1_roomE_20230216","1","6","7","6","0","0","0","6","1843.22","142.22","0","0","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","2","6","2","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","\Box13_Comments:"
"14","heroinSA","saline","Box14","02-16-23","271","heroinSA_FR1_roomE_20230216","1","7","3","7","0","0","0","7","408.59","408.59","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","\Box14_Comments:"
